"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","APPLES - ACRES BEARING  -  <b>VALUE</b>","APPLES - ACRES BEARING  -  <b>CV (%)</b>"
"SURVEY","2023","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","TOTAL","NOT SPECIFIED","297,100",""
"SURVEY","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","TOTAL","NOT SPECIFIED","302,300",""
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","TOTAL","NOT SPECIFIED","299,500",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","TOTAL","NOT SPECIFIED","301,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","TOTAL","NOT SPECIFIED","297,800",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","TOTAL","NOT SPECIFIED","292,600",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","TOTAL","NOT SPECIFIED","328,200",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","TOTAL","NOT SPECIFIED","328,800",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","TOTAL","NOT SPECIFIED","332,180",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","TOTAL","NOT SPECIFIED","329,880",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","TOTAL","NOT SPECIFIED","328,670",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","TOTAL","NOT SPECIFIED","325,200",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","TOTAL","NOT SPECIFIED","330,800",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","TOTAL","NOT SPECIFIED","336,600",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","TOTAL","NOT SPECIFIED","344,900",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","TOTAL","NOT SPECIFIED","348,790",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","APPLES","TOTAL","NOT SPECIFIED","350,890",""
