"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","FLAXSEED - ACRES HARVESTED  -  <b>VALUE</b>","FLAXSEED - ACRES HARVESTED  -  <b>CV (%)</b>"
"SURVEY","2024","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","125,000",""
"SURVEY","2023","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","160,000",""
"SURVEY","2022","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","242,000",""
"SURVEY","2021","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","280,000",""
"SURVEY","2020","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","296,000",""
"SURVEY","2019","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","284,000",""
"SURVEY","2018","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","198,000",""
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","272,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","366,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","456,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","302,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","172,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","336,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","173,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","418,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","314,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","340,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","349,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","767,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","955,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","511,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","588,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","703,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","578,000",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","517,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","381,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","329,000",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","146,000",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","92,000",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","147,000",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","171,000",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","191,000",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","165,000",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","342,000",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","253,000",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","163,000",""
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","226,000",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","463,000",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","683,000",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","584,000",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","538,000",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","580,000",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","735,000",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FLAXSEED","TOTAL","NOT SPECIFIED","577,000",""
